LOT,NO,변환,생산량,제품명,코멘트,결점종류,X좌표,Y좌표,Y사이즈,X사이즈,사이즈,밸류,마킹레벨
20220324CC02022,7291,20220324CC020227291,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,727,64576,0.215,0.3,0.2575,33,10
20220324CC02022,7309,20220324CC020227309,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,722,200959,0.322,0.25,0.286,49,10
20220324CC02022,7336,20220324CC020227336,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,766,343087,0.215,0.35,0.2825,55,10
20220324CC02022,7344,20220324CC020227344,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,721,432042,0.269,0.25,0.2595,46,10
20220324CC02022,7361,20220324CC020227361,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,765,559919,0.322,0.5,0.411,52,3
20220324CC02022,7373,20220324CC020227373,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,715,626236,0.269,0.35,0.3095,37,10
20220324CC02022,7383,20220324CC020227383,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,725,658692,0.322,0.9,0.611,48,3
20220324CC02022,7384,20220324CC020227384,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,705,660889,0.698,1.05,0.874,49,3
20220324CC02022,7412,20220324CC020227412,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,709,796708,0.269,0.4,0.3345,57,3
20220324CC02022,7427,20220324CC020227427,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,721,958354,0.269,0.25,0.2595,33,10
20220324CC02022,7472,20220324CC020227472,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,724,1452645,0.215,0.3,0.2575,34,10
20220324CC02022,7476,20220324CC020227476,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,761,1482258,0.645,0.55,0.5975,77,2
20220324CC02022,7503,20220324CC020227503,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,900,469406,0.269,0.3,0.2845,32,10
20220324CC02022,7518,20220324CC020227518,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1006,725740,0.269,0.25,0.2595,61,10
20220324CC02022,7525,20220324CC020227525,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,941,907827,0.215,0.3,0.2575,33,10
20220324CC02022,7559,20220324CC020227559,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1122,221322,0.322,0.3,0.311,38,10
20220324CC02022,7578,20220324CC020227578,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1194,584715,0.269,0.25,0.2595,50,10
20220324CC02022,7604,20220324CC020227604,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1067,1206802,0.322,0.3,0.311,84,3
20220324CC02022,7609,20220324CC020227609,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1208,1487710,0.215,0.3,0.2575,30,10
20220324CC02022,9192,20220324CC020229192,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1312,605082,0.161,0.4,0.2805,36,10
20220324CC02022,9235,20220324CC020229235,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1300,615389,0.215,0.3,0.2575,30,10
20220324CC02022,9276,20220324CC020229276,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1295,627649,0.215,0.3,0.2575,42,10
20220324CC02022,9278,20220324CC020229278,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1327,628367,0.269,0.3,0.2845,32,10
20220324CC02022,9284,20220324CC020229284,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1311,629836,0.322,0.6,0.461,45,3
20220324CC02022,9295,20220324CC020229295,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1231,631964,0.215,0.3,0.2575,32,10
20220324CC02022,9311,20220324CC020229311,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1292,637006,0.215,0.3,0.2575,41,10
20220324CC02022,9349,20220324CC020229349,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1329,644056,0.161,0.35,0.2555,36,10
20220324CC02022,9373,20220324CC020229373,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1326,651261,0.215,0.3,0.2575,32,10
20220324CC02022,9377,20220324CC020229377,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1296,652620,0.376,0.4,0.388,35,10
20220324CC02022,9407,20220324CC020229407,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1289,657382,0.215,0.35,0.2825,42,10
20220324CC02022,9418,20220324CC020229418,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1307,658898,0.322,0.3,0.311,46,3
20220324CC02022,9480,20220324CC020229480,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1308,681686,0.269,0.35,0.3095,53,3
20220324CC02022,9491,20220324CC020229491,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1253,685168,0.215,0.3,0.2575,47,10
20220324CC02022,9553,20220324CC020229553,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1325,705845,0.269,0.25,0.2595,30,10
20220324CC02022,9570,20220324CC020229570,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1245,711207,0.161,0.35,0.2555,35,10
20220324CC02022,9574,20220324CC020229574,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1260,713449,0.215,0.5,0.3575,43,3
20220324CC02022,9615,20220324CC020229615,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1315,732259,0.161,0.4,0.2805,36,10
20220324CC02022,9702,20220324CC020229702,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1304,777873,0.215,0.3,0.2575,32,10
20220324CC02022,9704,20220324CC020229704,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1327,778841,0.215,0.3,0.2575,43,10
20220324CC02022,9709,20220324CC020229709,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1285,782045,0.322,0.35,0.336,39,10
20220324CC02022,9710,20220324CC020229710,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1327,782548,0.269,0.3,0.2845,38,10
20220324CC02022,9753,20220324CC020229753,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1279,812913,0.269,0.25,0.2595,46,10
20220324CC02022,9755,20220324CC020229755,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1277,814468,0.161,0.55,0.3555,58,3
20220324CC02022,9797,20220324CC020229797,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1297,839781,0.161,0.35,0.2555,39,10
20220324CC02022,10060,20220324CC0202210060,1512,W3.1 코팅 ON46 ALR4 AD5M S7,경계투과/미마킹,백점,1302,1046334,0.269,0.3,0.2845,37,10
